C oyuncusu 0, 11 konumundan 2, 12 konumuna ilerlemistir
D oyuncusu 19, 17 konumundan 19, 18 konumuna ilerlemistir

A oyuncusu 17, 16 konumundan 17, 19 konumuna ilerlemistir
B oyuncusu 8, 19 konumundan 10, 19 konumuna ilerlemistir
C oyuncusu 2, 12 konumundan 2, 14 konumuna ilerlemistir

A oyuncusu 17, 19 konumundan 14, 19 konumuna ilerlemistir
B oyuncusu 10, 19 konumundan 8, 18 konumuna ilerlemistir
C oyuncusu 2, 14 konumundan 3, 16 konumuna ilerlemistir

A oyuncusu 14, 19 konumundan 13, 18 konumuna ilerlemistir
B oyuncusu 8, 18 konumundan 8, 15 konumuna ilerlemistir
C oyuncusu 3, 16 konumundan 3, 17 konumuna ilerlemistir

A oyuncusu 13, 18 konumundan 14, 16 konumuna ilerlemistir
B oyuncusu 8, 15 konumundan 5, 15 konumuna ilerlemistir
C oyuncusu 3, 17 konumundan 6, 17 konumuna ilerlemistir

A oyuncusu 14, 16 konumundan 14, 15 konumuna ilerlemistir
B oyuncusu 5, 15 konumundan 7, 14 konumuna ilerlemistir
C oyuncusu 6, 17 konumundan 9, 17 konumuna ilerlemistir

A oyuncusu 14, 15 konumundan 11, 15 konumuna ilerlemistir
B oyuncusu 7, 14 konumundan 7, 11 konumuna ilerlemistir
C oyuncusu 9, 17 konumundan 9, 14 konumuna ilerlemistir

A oyuncusu 11, 15 konumundan 9, 14 konumuna ilerlemistir
B oyuncusu 7, 11 konumundan 9, 12 konumuna ilerlemistir
C oyuncusu 9, 14 konumundan 6, 14 konumuna ilerlemistir

A oyuncusu 9, 14 konumundan 6, 14 konumuna ilerlemistir
B oyuncusu 9, 12 konumundan 6, 12 konumuna ilerlemistir
C oyuncusu 6, 14 konumundan 6, 11 konumuna ilerlemistir

A oyuncusu 6, 14 konumundan 6, 11 konumuna ilerlemistir
B oyuncusu 6, 12 konumundan 6, 9 konumuna ilerlemistir
C oyuncusu 6, 11 konumundan 6, 8 konumuna ilerlemistir

A oyuncusu 6, 11 konumundan 6, 8 konumuna ilerlemistir
B oyuncusu 6, 9 konumundan 6, 6 konumuna ilerlemistir
C oyuncusu 6, 8 konumundan 5, 6 konumuna ilerlemistir

A oyuncusu 6, 8 konumundan 5, 6 konumuna ilerlemistir
B oyuncusu 6, 6 konumundan 5, 4 konumuna ilerlemistir
C oyuncusu 5, 6 konumundan 5, 3 konumuna ilerlemistir

A oyuncusu 5, 6 konumundan 5, 3 konumuna ilerlemistir
B oyuncusu 5, 4 konumundan 5, 1 konumuna ilerlemistir
C oyuncusu 5, 3 konumundan 5, 0 konumuna ilerlemistir

A oyuncusu 5, 3 konumundan 8, 3 konumuna ilerlemistir
B oyuncusu 5, 1 konumundan 8, 1 konumuna ilerlemistir
